id,title,sector,sector_label,skill_tag
68,서비스 및 UI/UX 기획자 경력직 채용 (SW개발팀)-(주)엔티엘헬스케어,Web-publisher,14,"ANDROID,SW 개발,FRONT-END,UI/UX 설계,UI/UX기획,안드로이드 앱개발,웹개발,어플리케이션 개발,모바일앱개발"
69,[글로벌 B2C 앱] 자신감 넘치는 모바일 개발 시니어를 모십니다.,Mobile,5,"ANDROID,IOS,C#,SWIFT"
70,[슈가힐/네모] 서버개발자 (Server Developer),Back-end,0,SERVER
71,데이터 엔지니어,Data-engineer,7,"데이터사이언스,데이터마이닝,DATA MODELING,DATA SCIENCE,스칼라,SCALA,AWS,BIG DATA,MACHINE-LEARNING,머신러닝,인공지능,ARTIFICIAL-INTELLIGENCE,빅데이터"
72,백엔드/서버 개발자,Back-end,0,"BACK-END,NODE.JS,RUBY ON RAILS,SPRING-FRAMEWORK,SPRING,SPRINGBOOT,SPRING-BOOT,AMAZON AWS"
73,"웹개발자 경력자 모집(PHP, Javascript)",PHP-dev,25,"PHP,MYSQL,AMAZON AWS,BACK-END,JAVASCRIPT,JQUERY,GIT,풀스택개발,HTML5,서버관리,영어"
74,"드랍인 React, ReactNative 개발",Front-end,1,"FRONT-END,GCP,NODE.JS,HTML5,CSS,JAVASCRIPT,HTML,REACT,REACTNATIVE,GIT,MYSQL"
75,풀스택 엔지니어 - 경력 5년 이상,WEB/Full-stack,2,풀스택개발
76,국민피티 iOS 앱 개발자,IOS,4,
77,"[인공지능 AI 개발 ]딥러닝, 머신러닝 등 AI 개발 경력자를 모십니다.",Machine-learning,9,"머신러닝,딥러닝, TENSORFLOW, KERAS 등 머신러닝/딥러닝 ,DEEP-LEARNING,MACHINE-LEARNING,ARTIFICIAL-INTELLIGENCE,MACHINE LEARNING ,TENSORFLOW,PYTORCH,KERAS,NLP,IMAGE-PROCESSING,IMAGE-RECOGNITION"
78,Front-end  엔지니어,Front-end,1,"NODE.JS,REST API,MYSQL,ELASTIC,NESTJS,EXPRESS"
79,파이썬 백엔드 개발자,Back-end,0,
80,IT Compliance Engineer,Anonymous,22,
81,Data Engineer,Data-engineer,7,
82,광고플랫폼 개발 전문가,Anonymous,22,
83,GMP(Google Marketing Platform) 구글 마케팅 플랫폼 엔지니어,Anonymous,22,
84,데이터 사이언티스트 전문가,Data-scientist,8,
85,"Android 엔지니어(Kotlin, RxKotlin, MVVM)",Android,3,"REACT-NATIVE,KOTLIN,RXKOTLIN,MVVM,안드로이드,NATIVE APP 개발"
86,Back-end  엔지니어,Back-end,0,"NODE.JS,REST API,MYSQL,ELASTIC,NESTJS,EXPRESS,PHP,AMAZON AWS"
87,"✨머신러닝 리서처 (시니어, 주니어)",Machine-learning,9,"PYTHON, TENSORFLOW, PYTORCH,DEEP-LEARNING,MACHINE LEARNING ,COMPUTER-VISION,GAN,CONTENTS"
88,프론트엔드 엔지니어 - 경력 2년 이상,Front-end,1,"FRONT-END,TYPESCRIPT,MICROSERVICES ARCHITECTURE,VUE.JS,NUXT.JS,REACT-NATIVE"
89,프론트엔드 엔지니어 - 신입,Front-end,1,"ANDROID,IOS"
90,테크 리드,CTO,19,풀스택개발
91,VP of Engineering,Anonymous,22,"매니지먼트,SOFTWARE-ENGINEERING"
92,소프트웨어 엔지니어 인턴 (전환형),Anonymous,22,"ANDROID,IOS,FULL STACK,SOFTWARE-ENGINEERING,WEB,FRONT-END"
93,풀스택 엔지니어 - 경력 2년 이상,WEB/Full-stack,2,풀스택개발
94,프론트엔드 엔지니어 - 경력 5년 이상,Front-end,1,"소프트웨어아키텍처,FRONT-END"
95,판다코퍼레이션에서 웹 Front-end 개발 경력직을 채용합니다.,Front-end,1,"FRONT-END,HTML/CSS,JAVASCRIPT,REACT,VUE,D3.JS,CHART JS,웹 표준,크로스브라우징"
96,서비스 및 플랫폼 개발자,DevOps,10,"JAVA,MYSQL,BACK-END,FRONT-END,GITHUB,REACT,AMAZON AWS,JAVASCRIPT,JQUERY,ELASTICSEARCH,REDIS,SPRING-BOOT,RUBY ON RAILS"
97,back-end 개발자 구합니다.,Back-end,0,"PYTHON,DJANGO,DJANGO REST FRAMEWORK,AMAZON AWS,GIT,BACK-END"
98,Flutter 개발자,Mobile,5,"ANDROID,FLUTTER & DART,FLUTTER,KOTLIN,IOS,SWIFT,SWIFT 개발 경험자,웹 개발"
99,지구를 구하는 영웅들을 위하여! 풀스택 웹 개발자를 구합니다!,WEB/Full-stack,2,"JAVASCRIPT,TYPESCRIPT,REDUX,MOBX,CSS3,JAVA,AMAZON AWS,GOOGLE CLOUD PLATFORM (GCP),FIREBASE,REACTJS,PROGRESSIVEWEBAPP(PWA),SSR,NEXT.JS,NODE JS,NEST.JS,TYPEORM,GRAPH QL,REST API,SQL,NOSQL,풀스택개발,영어"
100,[자전거 스타트업] 백엔드 / 프론트엔드 개발자 팀원 모집,Back-end,0,"JAVA,MYSQL,NODE.JS,AMAZON AWS,BACK-END,FRONT-END,JAVASCRIPT"
101,Back-end Engineer,Back-end,0,"PYTHON,NODE JS,JAVA,PHP,SPRING-FRAMEWORK,JAEGER,BACK-END,ASP,AGILE SCRUM,DOCKER/KUBERNETES,NGINX,APACHE,VARNISH,REDIS,KAFKA,MICRO SERVICE ARCHITECTURE,AWS,FIREBASE,AZURE"
102,"울산지사 인공지능/빅데이터 연구개발, 기술총괄 본부장급",Machine-learning,9,"JAVA,소프트웨어,솔루션,빅데이터,빅데이터분석"
103,보안 운영 담당자 모집,Security,15,"웹 보안,SECURITY,ISO 27001,개인정보보호,정보보안,ISMS,네트워크보안,클라우드 보안,NETWORK-SECURITY,정보보호,정보보호관리체계"
104,대표이사보다 엉덩이가 무거운 백앤드 개발자를 찾습니다!,Back-end,0,"AMAZON AWS,SPRING-FRAMEWORK"
105,커머스 Web Frontend Developer,Front-end,1,
106,iOS개발을 자신하는 프론트앤드 개발자를 찾습니다!,IOS,4,"SWIFT,IOS 앱개발,위치기반서비스"
107,백엔드 프로그래머,Back-end,0,"PYTHON,백엔드,백엔드개발자,BACK-END,RDBMS,POSTGRESQL,MSA,SOA,오픈소스,테스트자동화,빌드자동화,지속적통합"
108,iOS 프로그래머,IOS,4,"IOS,IOS 앱개발,MVP,SWIFT,SWIFT 개발 경험자,RESTFUL-API,KOTLIN,PYTHON,TYPESCRIPT,RUST,HASKELL"
109,프론트엔드 프로그래머,Front-end,1,"JAVASCRIPT,REACT,FRONT-END,HTML,TYPESCRIPT,SCSS,VUE.JS,웹 프론트엔드 개발(HTML5/CSS3/JAVASCRIPT/VUE.JS),SEO,REDUX,RUST,HASKELL,PYTHON"
110,안드로이드 프로그래머,Android,3,"안드로이드,ANDROID,ANDROID플랫폼,KOTLIN,JAVA,RESTFUL-API,TYPESCRIPT,PYTHON,RUST,C,HASKELL"
111,백엔드 개발자,Back-end,0,"백엔드 기술 JAVA, SPRING, NODE.JS, MYSQL,AMAZON AWS"
112,금융권 웹 개발자 프리랜서 모집,WEB/Full-stack,2,"JAVA,SPRING-BOOT,POSTGRESQL,RDBMS"
113,교육 플랫폼 frontend / backend 엔지니어,Front-end,1,"GIT,BACK-END,풀스택개발,FRONT-END,HTML5,CSS,JAVASCRIPT,서버관리"
114,Front-end 개발자,Front-end,1,"REACT,FRONT-END"
115,Back-end 개발자,Back-end,0,"BACK-END,서버관리,JAVA,SPRING-BOOT,AMAZON AWS"
116,S/W개발,Anonymous,22,"SW 개발,장비 SW,WINDOWS-APPLICATION"
117,데이터 사이언티스트,Data-scientist,8,"이미지 처리,데이터 분석,데이터마이닝,알고리즘 개발"
118,백엔드 개발자,Back-end,0,"NODE.JS,BACK-END,AMAZON AWS"
119,영상기반 인공지능 AI 피트니스 앱 개발자 경력직 2명 채용,Computer-vision,16,"ANDROID,IOS,JAVA,SWIFT,KOTLIN"
120,API&Web 개발자 (Back-end_Senior),Back-end,0,API
121,API&Web 개발자 (Back-end_Junior),Back-end,0,API
122,상상텃밭 스마트팜 개발자 모집 - 경력,Anonymous,22,"C,C++,ESP,AZURE,IOT,IOT DEVICE,TYPESCRIPT,사물인터넷,EMBEDDED,MSSQL,REACT,FRONT-END,BACK-END,NODE.JS,GIT,서버관리"
123,상상텃밭 스마트팜 개발자 모집 - 신입,Anonymous,22,"AZURE,AZURE IOT HUB,IOT,AZURE SPHERE,사물인터넷,임베디드,RASPBERRY PI,ARDUINO,CI/CD,REACT.JS,NODE.JS,MSSQL,SASS/SCSS"
124,React Native 소프트웨어 엔지니어,Mobile,5,"ANDROID,IOS 앱개발,ANDROID앱개발,TYPE-SCRIPT,OPP,REACT-NATIVE"
125,Frontend Software Engineer (AI tribe),Front-end,1,"REACT,GIT,CSS,HTML,JAVASCRIPT,VUE.JS,TYPESCRIPT"
126,Junior Backend Software Engineer 백엔드 개발자,Back-end,0,"PHP,RUBY ON RAILS,MYSQL,BACK-END,CASSANDRA,AWS DYNAMODB,NODE.JS,TYPESCRIPT,LAMBDA"
127,프론트엔드(vue.js) 개발자,Front-end,1,
128,로보틱스 개발자 ( Robotics Engineer ),Embedded/Robotics,12,
129,Frontend / Backend 개발자,WEB/Full-stack,2,
130,인프라자동화 백엔드,Back-end,0,
131,게임 개발QA 전문가,QA/QC,23,
132,QA 업무시스템 기획,QA/QC,23,
133,"Senior, QA Engineer (Coupang Eats)",QA/QC,23,
134,Cloud Management Service 개발자,DevOps,10,
135,Frontend Software Engineer (AI tribe),Front-end,1,"FRONT-END,REACT,VUE.JS,TYPESCRIPT,REDUX,REDUX-SAGA"
136,"Principal, iOS Engineer (Coupang Eats)",IOS,4,
137,"Principal, Android Engineer (Coupang Eats)",Android,3,
138,Senior Backend Software Engineer 백엔드 개발자,Back-end,0,"PHP,MYSQL,BACK-END,LALAVEL,SPRING-FRAMEWORK,NODE.JS,TYPESCRIPT,AWS DYNAMODB,LAMBDA,CASSANDRA,GIT"
139,Junior Frontend Software Engineer 프론트엔드 개발자,Front-end,1,"FRONT-END,JAVASCRIPT,REACT,GITHUB,NODE.JS,ANGULARJS,MYSQL,REDUX,REDUX-SAGA"
140,Senior Frontend Software Engineer 프론트엔드 개발자,Front-end,1,"FRONT-END,ANGULARJS,NODE.JS,REACT-NATIVE,TYPESCRIPT,REDUX,REDUX-SAGA,HTML,CSS,VUE,GIT"
141,Back-end Engineer,Back-end,0,"NODE JS,NEST.JS,APOLLO SERVER,GRAPH QL,PRISMA,MYSQL"
142,Front-end Mobile Engineer,Front-end,1,"REACT.JS,NEXT.JS,REACT-NATIVE,STORYBOOK,TYPE-SCRIPT,GRAPH QL,APOLLO-CLIENT,ZEPLIN"
143,풀스택 개발자 (PHP),PHP-dev,25,"REACT.JS,NEXT.JS,REACT-NATIVE,STORYBOOK,TYPE-SCRIPT,GRAPH QL,APOLLO-CLIENT,PHP,HTML,JAVASCRIPT,AJAX"
144,프론트엔드 개발자,Front-end,1,"JQUERY,FRONT-END,REACT,VUE,JAVASPRING"
145,개발팀장(CTO),CTO,19,"JAVASCRIPT,REACT,AMAZON AWS,FRONT-END,BACK-END,풀스택개발,서버관리,JAVA,NODE.JS,MYSQL"
146,백엔드 엔지니어 모집,Back-end,0,"데이터 엔지니어,빅데이터 분석/인프라/가시화,DATA ENGINEERING,DATA MODELING,빅데이터 엔지니어"
147,데이터엔지니어 모집 (2명),Data-engineer,7,"JAVA,BACK-END"
148,스타트업 전문 개발사 기술영업 채용,Project-manager,13,"기술영업,IT기술영업,REACT,DJANGO,FRONT-END,BACK-END,FULL-STACK DEVELOPMENT,FULLSTACK DEVELOPMENT"
149,React Front-end 웹개발자 채용,Front-end,1,"PROGRESSIVEWEBAPP(PWA),RESPONSIVE WEB,REACT,JAVASCRIPT,HTML5,FRONT-END,IOS,CSS,NEXT.JS,REACT.JS,VERCEL,GITHUB,영어,에스파냐어,중국어"
150,Django Back-end 웹개발자 채용,Back-end,0,"DJANGO,DJANGO REST FRAMEWORK,PYTHON DJANGO,웹백엔드(STRUTS, LIVEFRAMEWORK, IBATIS, WEBSPHERE, ORACLE),백엔드,BACK-END,AWS,AMAZON AWS"
151,React Native & Firebase 개발자 채용,Mobile,5,"IOS,ANDROID,REACT-NATIVE,REACTNATIVE,REACT-NATIVE 앱 개발,REACT/REACT NATIVE,FIREBASE,FIRESTORE,중국어,영어,에스파냐어"
152,빅인은 BackEnd Developer 채용중!,Back-end,0,"JAVA,NODE.JS,CLICKHOUSE,VITESS(MYSQL),DATA QUERY,EXPRESS,SQL,KUBERNETES,CI/CD,TDD"
153,빅인은 Data Engineering 채용중!,Data-engineer,7,"DATA ENGINEERING,AMAZON AWS,KOPS,FLINK,STREAM DATA,TPS MONITORING,BUSINESS-LOGIC,JAVA,APACHE-KAFKA,KUBERNETES"
154,빅인은 FrontEnd Developer 채용중!,Front-end,1,"풀스택개발,BACK-END,FRONT-END,JAVASCRIPT,CI/CD,TDD,CSS,HTML"
155,탄탄한 음악 스타트업에서 CTO/백엔드 개발자를 모십니다,CTO,19,"PHP,JQUERY,MYSQL,LARAVEL,BACK-END,AMAZON AWS,풀스택개발,PYTHON,NODE.JS,영어"
156,[원격근무] Web 프론트엔드 개발자,Front-end,1,"JAVASCRIPT,REACT,FRONT-END,풀스택개발,GIT,CSS3,NODE.JS,HTML5,GITHUB,HTML,MYSQL"
157,"iOS 개발자 채용, 산업기능요원 포함",IOS,4,"IOS,IOS 앱개발,SWIFT,SWIFT 개발 경험자,XCODE,모바일앱개발,아이폰,OBJECTIVE-C,IPHONE,아이폰개발자,어플리케이션 개발,NATIVE APP 개발,COCOAPODS,IOS DEVELOPER,MOBILE APP DEVELOPER"
158,항공권 검색 엔진 개발자 채용 (경력직),Data-engineer,7,"JAVA,SPING FRAMEWORK,WEB,BACK-END,API,MYSQL,NODE.JS,JQUERY,JAVASCRIPT"
159,[웹/앱 SW개발자 채용],Anonymous,22,"ANDROID,PYTHON,C++,PHP,NODE.JS,IOS 앱개발,DB,WEB SERVICE,영어,중국어,일본어"
160,안드로이드 개발 (경력직),Android,3,"ANDROID,JAVA"
161,Product Manager,Project-manager,13,PRODUCT MANAGER
162,Machine Learning Engineer,Machine-learning,9,"MACHINE LEARNING ,머신러닝,DATA SCIENCE"
163,[메가존/펜타클] 모바일앱 개발자 채용,Mobile,5,"디지털광고,디지털마케팅,온라인광고,온라인마케팅,ANDROID,IOS,FLUTTER,REACT-NATIVE,FIREBASE,클라우드,FRONT-END,BACK-END,풀스택개발"
164,[메가존/펜타클] 백엔드 / 데이터 엔지니어,Back-end,0,"디지털광고,디지털마케팅,온라인광고,온라인마케팅,JAVA,PYTHON,AMAZON AWS,JQUERY,NODE.JS,REACT.JS,SPRING-FRAMEWORK,SPRING,빅데이터,데이터엔지니어"
165,[메가존/펜타클] 프론트엔드 개발자 채용,Front-end,1,"디지털광고,디지털마케팅,온라인광고,온라인마케팅,JAVASCRIPT,HTML,HTML5,CSS3,VUE.JS,REACT.JS,GIT,JQUERY,FRONT-END,웹퍼블리싱,프론트엔드개발자"
166,[메가존/펜타클] 프로덕트 오너 (Product Owner),CTO,19,"디지털광고,디지털마케팅,온라인광고,온라인마케팅,ANDROID,IOS,PM,UI/UX ,모바일앱,플랫폼"
167,"Java, jsp 웹 개발자",JAVA-dev,21,"JAVA,JSP"
168,웹/앱 개발자 채용(신입/경력),WEB/Full-stack,2,"PHP,JQUERY,MYSQL"
169,백엔드(Backend) 개발자,Back-end,0,"BACK-END,LINUX,JAVASCRIPT,NODE.JS,MONGODB,RESTFUL-API,KOAJS,AMAZON AWS,GOOGLE CLOUD PLATFORM (GCP)"
170,"[서울시,경기도,충북, 공공배달앱 선정기업 ] Web & Android 개발자 & C++개발자",Android,3,"ANDROID,JAVA,PHP,JAVASCRIPT,JQUERY,MYSQL,AMAZON AWS,BACK-END,NODE.JS,C,아이폰개발자"
171,"웹 개발자, 백엔드 개발자",Back-end,0,"JAVA,MYSQL,BACK-END"
172,벡엔드 개발자,Back-end,0,"KOTLIN,SCALA,JAVA,SPRING BOOT 2"
173,[연봉 인상 최대 30%] Backend 백엔드 개발자 (경력),Back-end,0,"BACK-END,AMAZON AWS,POSTGRESQL,GIT,JAVA,KOTLIN,백엔드,백엔드 개발,SPRING-FRAMEWORK,SPRING,코틀린"
174,시니어 백엔드 개발자 (Back-end Developer),Back-end,0,"GITHUB,TYPESCRIPT,NODE.JS,AMAZON AWS"
175,[현역 전직 / 보충역 신입] 백엔드 개발자 (Back-end Developer),Back-end,0,"PYTHON,DJANGO,NODE.JS,MYSQL"
176,블록체인 개발자 (Blockchain Developer),Block-chain,17,"JAVASCRIPT,WEB3.JS,TRUFFLE-SUITE"
177,주니어 웹 개발자 (Web Developer),WEB/Full-stack,2,RESTFUL-API
178,Backend Server 개발자,Back-end,0,"BACK-END,백엔드개발자,JAVA,SPRING,MSA,CLINET-SERVER,RESTFUL-API,GIT,AZURE,AWS,HADOOP,KAFKA,ELASTICSEARCH"
179,Windows Client(C# WPF) 개발자,C#/C++/C,24,"GITHUB,.NET,C#WPF,CLIENT"
180,웹 개발자 (프론트엔드),Front-end,1,"JAVA,HTML5,CSS3,REST,JAVASCRIPT"
181,Robotics engineer (state estimation / SLAM),Embedded/Robotics,12,"C,C++,MATHEMATICS,PYTHON"
182,Software engineer,Anonymous,22,"C,C++,PYTHON"
183,프론트엔드 개발자,Front-end,1,
184,React-Native 개발자,Mobile,5,
185,백엔드 개발자,Back-end,0,
186,개발팀장,CTO,19,
187,Software Test Engineer,QA/QC,23,
188,라이브 커머스 서비스 개발,Anonymous,22,
189,[FutureKitchen 퓨처키친] iOS 개발자 (iOS Developer),IOS,4,
190,Control engineer,Embedded/Robotics,12,"C,C++"
191,스트리밍 서버 개발,Back-end,0,
192,안드로이드 개발자,Android,3,
193,"[전문연구요원 편입/전직] 음성인식/합성 엔진 개발 전문연구요원(병역 특례, 석사 이상)",Machine-learning,9,
194,CTO,CTO,19,CTO
195,"웹 개발자(프론트, 백) 채용",Front-end,1,"PHP,REACT.JS,JAVASCRIPT,HTML5,CSS3,NODE.JS"
196,Messenger: Tech-Lead engineer,CTO,19,"JAVA,PYTHON,C++,GO,MESSENGER"
197,Billing: Tech-Lead engineer,CTO,19,"PYTHON,C++,JAVA"
198,Junior Site-Reliability-Engineer,DevOps,10,"KUBERNETES,JAVA,PYTHON,GO,SITE RELIABILITY ENGINEERING"
199,Senior Site-Reliability-Engineer,DevOps,10,"SITE RELIABILITY ENGINEERING,KUBERNETES,SOFTWARE DELIVERY,JAVA,PYTHON,GO,TERRAFORM"
200,"웹개발자 Frontend, Backend 개발자",WEB/Full-stack,2,"JAVASCRIPT,REACT,REACT-NATIVE,REACT.JS,REACTNATIVE,REACT.JS,JAVA,SPRING,SPRING-FRAMEWORK,SPRING-BOOT,SPRINGBOOT,SPRING MVC,AMAZON AWS,MSSQL,MYSQL,웹서비스,백엔드,프론트,스타트업"
201,Data Scientist,Data-scientist,8,"DATA SCIENCE, DATA ANALYSIS,MACHINE LEARNING ,머신러닝,기계학습,데이터분석,데이터사이언스"
202,Junior Data Engineer,Data-engineer,7,"DATA SCIENCE, DATA ANALYSIS,MACHINE LEARNING ,머신러닝,기계학습,데이터분석,데이터사이언스"
203,Junior Data Scientist,Data-scientist,8," DATA ANALYSIS,데이터분석"
204,Educational Software Engineer,Anonymous,22,"JAVASCRIPT,REACT,NODE.JS,REACT.JS,GRAPHQL/APOLLO,AMAZON AWS,MYSQL,GIT,GITHUB,AGILE METHODOLOGIES"
205,프런트엔드 개발 (인턴/신입/경력/프리랜서),Front-end,1,"ANDROID,JAVA,JAVASCRIPT,JQUERY,PYTHON,MYSQL,HTML5,GIT,CSS3,GITHUB,REACT,BOOTSTRAP,NODE.JS,AMAZON AWS,MONGODB,FRONT-END,풀스택개발,HTML,PHP,ANGULARJS"
